Cluster,Code,Size,Dominant,Purity,box_0.14,cup_cup_w16_h16,cup_cup_w18_h18,cup_cup_w20_h20,inverted_cup_inv_cup_w16_h16_thinner,inverted_cup_inv_cup_w18_h18_thinner,inverted_cup_inv_cup_w20_h20_thinner,sphere_0.14
0,0000,8895,sphere_0.14,100.0%,0,0,0,0,0,0,0,8895
1,0001,4891,box_0.14,100.0%,4891,0,0,0,0,0,0,0
2,0010,3084,cup_cup_w18_h18,100.0%,0,0,3084,0,0,0,0,0
3,0011,3251,cup_cup_w16_h16,100.0%,0,3251,0,0,0,0,0,0
4,0100,3078,inverted_cup_inv_cup_w16_h16_thinner,100.0%,0,0,0,0,3078,0,0,0
5,0101,0,—,0.0%,0,0,0,0,0,0,0,0
6,0110,0,—,0.0%,0,0,0,0,0,0,0,0
7,0111,0,—,0.0%,0,0,0,0,0,0,0,0
8,1000,0,—,0.0%,0,0,0,0,0,0,0,0
9,1001,0,—,0.0%,0,0,0,0,0,0,0,0
10,1010,0,—,0.0%,0,0,0,0,0,0,0,0
11,1011,0,—,0.0%,0,0,0,0,0,0,0,0
12,1100,3226,inverted_cup_inv_cup_w18_h18_thinner,100.0%,0,0,0,0,0,3226,0,0
13,1101,2943,cup_cup_w20_h20,100.0%,0,0,0,2943,0,0,0,0
14,1110,3171,inverted_cup_inv_cup_w20_h20_thinner,100.0%,0,0,0,0,0,0,3171,0
15,1111,0,—,0.0%,0,0,0,0,0,0,0,0
